"combo","A_quant","B_batch","C_cpu_pct","D_mem_gb","n","mean_ms","sd_ms","cv_pct","min_ms","max_ms","median_ms","q25_ms","q75_ms"
1,"Q6K",1,10,0,20,3506.07,114.99,3.2798,3313.82,3735.9,3498.29,3441.68,3536.58
2,"Q6K",2,40,2,20,5308.85,1790.84,33.733,3426.26,9434.25,5665.03,3582.09,6469.33
3,"Q6K",4,70,4,20,7410.62,1283.23,17.3161,4020.89,9480.76,7352.95,6888.5,8247.86
4,"Q4KM",1,40,4,20,4994.09,397.42,7.9578,4785.6,6572.74,4861.73,4842.63,4915.3
5,"Q4KM",2,70,0,20,5391.57,358.93,6.6573,5202.54,6760.9,5258.77,5233.22,5366.41
6,"Q4KM",4,10,2,20,4446.3,915.97,20.6008,2563.41,5784.28,4694.82,4298.19,5044.71
7,"Q2K",1,70,2,20,3035.39,382.97,12.6168,2822.42,4585.84,2939.66,2922.49,2958.25
8,"Q2K",2,10,4,20,2797.78,817.02,29.2024,2331.27,5324.68,2538.74,2456.07,2607.14
9,"Q2K",4,40,0,20,3442.1,944.02,27.4256,2633.77,5262.34,3014.93,2663.53,4043.17
